"1968M01"	1.38	1.257
"1968M02"	1.52	1.174
"1968M03"	1.466	1.323
"1968M04"	1.554	1.328
"1968M05"	1.408	1.367
"1968M06"	1.405	1.184
"1968M07"	1.512	1.37
"1968M08"	1.495	1.279
"1968M09"	1.556	1.397
"1968M10"	1.569	1.348
"1968M11"	1.63	1.367
"1968M12"	1.548	1.39
"1969M01"	1.769	1.257
"1969M02"	1.705	1.414
"1969M03"	1.561	1.558
"1969M04"	1.524	1.318
"1969M05"	1.583	1.43
"1969M06"	1.528	1.455
"1969M07"	1.368	1.432
"1969M08"	1.358	1.393
"1969M09"	1.507	1.367
"1969M10"	1.381	1.406
"1969M11"	1.229	1.404
"1969M12"	1.327	1.402
"1970M01"	1.085	1.434
"1970M02"	1.305	1.43
"1970M03"	1.319	1.317
"1970M04"	1.264	1.354
"1970M05"	1.29	1.334
"1970M06"	1.385	1.431
"1970M07"	1.517	1.384
"1970M08"	1.399	1.609
"1970M09"	1.534	1.383
"1970M10"	1.58	1.437
"1970M11"	1.647	1.457
"1970M12"	1.893	1.437
"1971M01"	1.828	1.471
"1971M02"	1.741	1.448
"1971M03"	1.91	1.489
"1971M04"	1.986	1.709
"1971M05"	2.049	1.637
"1971M06"	2.026	1.637
"1971M07"	2.083	1.699
"1971M08"	2.158	1.896
"1971M09"	2.041	1.804
"1971M10"	2.128	1.815
"1971M11"	2.182	1.844
"1971M12"	2.295	1.895
"1972M01"	2.494	1.942
"1972M02"	2.39	2.061
"1972M03"	2.334	1.981
"1972M04"	2.249	1.97
"1972M05"	2.221	1.896
"1972M06"	2.254	1.936
"1972M07"	2.252	1.93
"1972M08"	2.382	2.102
"1972M09"	2.481	2.053
"1972M10"	2.485	1.995
"1972M11"	2.421	1.985
"1972M12"	2.366	2.121
"1973M01"	2.481	2.162
"1973M02"	2.289	2.124
"1973M03"	2.365	2.196
"1973M04"	2.084	2.195
"1973M05"	2.266	2.299
"1973M06"	2.067	2.258
"1973M07"	2.123	2.066
"1973M08"	2.051	2.056
"1973M09"	1.874	2.061
"1973M10"	1.677	2.052
"1973M11"	1.724	1.925
"1973M12"	1.526	1.869
"1974M01"	1.451	1.932
"1974M02"	1.752	1.938
"1974M03"	1.555	1.806
"1974M04"	1.607	1.83
"1974M05"	1.426	1.715
"1974M06"	1.513	1.897
"1974M07"	1.316	1.695
"1974M08"	1.142	1.634
"1974M09"	1.15	1.651
"1974M10"	1.07	1.63
"1974M11"	1.026	1.59
"1974M12"	0.975	1.54
"1975M01"	1.032	1.588
"1975M02"	0.904	1.346
"1975M03"	0.993	1.293
"1975M04"	1.005	1.278
"1975M05"	1.121	1.349
"1975M06"	1.087	1.234
"1975M07"	1.226	1.276
"1975M08"	1.26	1.29
"1975M09"	1.264	1.333
"1975M10"	1.344	1.134
"1975M11"	1.36	1.383
"1975M12"	1.321	1.306
"1976M01"	1.367	1.258
"1976M02"	1.538	1.311
"1976M03"	1.421	1.347
"1976M04"	1.395	1.332
"1976M05"	1.459	1.44
"1976M06"	1.495	1.39
"1976M07"	1.401	1.322
"1976M08"	1.55	1.374
"1976M09"	1.72	1.371
"1976M10"	1.629	1.388
